[2025-03-21 15:40:39] Прокси-сервер запущен на порту 5000...
[2025-03-21 15:41:23] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMukFJh
[2025-03-21 15:41:26] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMukG2n
[2025-03-21 15:41:30] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMukH1D
[2025-03-21 15:41:36] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMukIU_
[2025-03-21 15:41:42] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMukJyi
[2025-03-21 15:41:48] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMukLQo
[2025-03-21 15:41:54] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMukMuH
[2025-03-21 15:42:00] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMukOL-
[2025-03-21 15:42:06] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMukPpk
[2025-03-21 15:42:12] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMukRHR
[2025-03-21 15:42:18] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMukSl4
[2025-03-21 15:42:24] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMukUD7
[2025-03-21 15:42:30] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMukVgk
[2025-03-21 15:47:41] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMulhTZ
[2025-03-21 15:47:43] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuli5O
[2025-03-21 15:47:48] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuljJN
[2025-03-21 15:47:54] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMulkn7
[2025-03-21 15:48:00] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMulmEs
[2025-03-21 15:48:06] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMulnig
[2025-03-21 15:48:12] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMulpAQ
[2025-03-21 15:48:18] Остановка прокси-сервера.
[2025-03-21 15:56:22] Прокси-сервер запущен на порту 5000...
[2025-03-21 15:56:24] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMunhH-
[2025-03-21 15:56:30] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMunilg
[2025-03-21 15:56:37] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMunkOz
[2025-03-21 15:56:42] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMunlh6
[2025-03-21 15:56:48] Остановка прокси-сервера.
[2025-03-21 15:57:01] Прокси-сервер запущен на порту 5000...
[2025-03-21 15:57:03] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMunqgi
[2025-03-21 15:57:09] Остановка прокси-сервера.
[2025-03-21 15:57:19] Прокси-сервер запущен на порту 5000...
[2025-03-21 15:57:22] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMunvSA
[2025-03-21 15:57:26] Получен запрос: GET /
[2025-03-21 15:57:28] Получен запрос: GET /
[2025-03-21 15:57:28] Получен запрос: GET /
[2025-03-21 15:57:28] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMunww3
[2025-03-21 15:57:34] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMunyNm
[2025-03-21 15:57:40] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMunzrI
[2025-03-21 15:57:46] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMun_JA
[2025-03-21 15:57:52] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuo0nM
[2025-03-21 15:57:59] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuo2Ns
[2025-03-21 15:58:05] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuo3iu
[2025-03-21 15:58:10] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuo5AC
[2025-03-21 15:58:16] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuo6dt
[2025-03-21 15:58:22] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuo85a
[2025-03-21 15:58:28] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuo9ZY
[2025-03-21 15:58:34] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoB1I
[2025-03-21 15:58:40] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoCUt
[2025-03-21 15:58:46] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoDyi
[2025-03-21 15:58:52] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoFQY
[2025-03-21 15:58:58] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoGuG
[2025-03-21 15:59:05] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoIL-
[2025-03-21 15:59:10] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoJpb
[2025-03-21 15:59:17] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoLIC
[2025-03-21 15:59:22] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoMlG
[2025-03-21 15:59:28] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoOCw
[2025-03-21 15:59:35] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoPgz
[2025-03-21 15:59:41] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoR96
[2025-03-21 15:59:46] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoSc7
[2025-03-21 15:59:52] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoU40
[2025-03-21 15:59:58] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoVXp
[2025-03-21 16:00:04] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoW_X
[2025-03-21 16:00:10] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoYT8
[2025-03-21 16:00:16] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuoZx9
[2025-03-21 16:00:22] Получен запрос: GET /socket.io/?EIO=4&transport=polling&t=PMuobOi
[2025-03-21 16:00:30] Остановка прокси-сервера.
[501 Not Implemented] CONNECT http://clients4.google.com:443clients4.google.com:443
[501 Not Implemented] CONNECT http://clients4.google.com:443clients4.google.com:443
[501 Not Implemented] CONNECT http://o731358.ingest.us.sentry.io:443o731358.ingest.us.sentry.io:443
[501 Not Implemented] CONNECT http://o731358.ingest.us.sentry.io:443o731358.ingest.us.sentry.io:443
[501 Not Implemented] CONNECT http://bam.nr-data.net:443bam.nr-data.net:443
[501 Not Implemented] CONNECT http://bam.nr-data.net:443bam.nr-data.net:443
[501 Not Implemented] CONNECT http://vk.com:443vk.com:443
[501 Not Implemented] CONNECT http://vk.com:443vk.com:443
[501 Not Implemented] CONNECT http://im.vk.com:443im.vk.com:443
[501 Not Implemented] CONNECT http://im.vk.com:443im.vk.com:443
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
[501 Not Implemented] CONNECT http://self.events.data.microsoft.com:443self.events.data.microsoft.com:443
[501 Not Implemented] CONNECT http://bam.nr-data.net:443bam.nr-data.net:443
[501 Not Implemented] CONNECT http://bam.nr-data.net:443bam.nr-data.net:443
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://self.events.data.microsoft.com:443self.events.data.microsoft.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
[501 Not Implemented] CONNECT http://adblock.telemetry.getadblock.com:443adblock.telemetry.getadblock.com:443
[501 Not Implemented] CONNECT http://adblock.telemetry.getadblock.com:443adblock.telemetry.getadblock.com:443
[501 Not Implemented] CONNECT http://bam.nr-data.net:443bam.nr-data.net:443
[501 Not Implemented] CONNECT http://bam.nr-data.net:443bam.nr-data.net:443
[501 Not Implemented] CONNECT http://self.events.data.microsoft.com:443self.events.data.microsoft.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[OK] GET http://c.pki.goog/r/r4.crl => HTTP/1.1 304 Not Modified
[OK] GET http://x1.c.lencr.org/ => HTTP/1.1 304 Not Modified
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
[501 Not Implemented] CONNECT http://self.events.data.microsoft.com:443self.events.data.microsoft.com:443
[501 Not Implemented] CONNECT http://bam.nr-data.net:443bam.nr-data.net:443
[501 Not Implemented] CONNECT http://bam.nr-data.net:443bam.nr-data.net:443
[OK] GET http://c.pki.goog/r/r1.crl => HTTP/1.1 304 Not Modified
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://self.events.data.microsoft.com:443self.events.data.microsoft.com:443
[OK] GET http://c.pki.goog/r/gsr1.crl => HTTP/1.1 304 Not Modified
[501 Not Implemented] CONNECT http://bam.nr-data.net:443bam.nr-data.net:443
[501 Not Implemented] CONNECT http://bam.nr-data.net:443bam.nr-data.net:443
[ERROR] [WinError 10049] The requested address is not valid in its context
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[ERROR] [WinError 10049] The requested address is not valid in its context
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://self.events.data.microsoft.com:443self.events.data.microsoft.com:443
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
[501 Not Implemented] CONNECT http://heybro.ai:443heybro.ai:443
[501 Not Implemented] CONNECT http://bam.nr-data.net:443bam.nr-data.net:443
[501 Not Implemented] CONNECT http://heybro.ai:443heybro.ai:443
[501 Not Implemented] CONNECT http://heybro.ai:443heybro.ai:443
[501 Not Implemented] CONNECT http://bam.nr-data.net:443bam.nr-data.net:443
[501 Not Implemented] CONNECT http://self.events.data.microsoft.com:443self.events.data.microsoft.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://self.events.data.microsoft.com:443self.events.data.microsoft.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://queuev4.vk.com:443queuev4.vk.com:443
[501 Not Implemented] CONNECT http://bam.nr-data.net:443bam.nr-data.net:443
[501 Not Implemented] CONNECT http://bam.nr-data.net:443bam.nr-data.net:443
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
[501 Not Implemented] CONNECT http://api.vk.com:443api.vk.com:443
